COMMUNITY AREA NAME,CENSUS BLOCK,BUILDING TYPE,BUILDING_SUBTYPE,KWH JANUARY 2010,KWH FEBRUARY 2010,KWH MARCH 2010,KWH APRIL 2010,KWH MAY 2010,KWH JUNE 2010,KWH JULY 2010,KWH AUGUST 2010,KWH SEPTEMBER 2010,KWH OCTOBER 2010,KWH NOVEMBER 2010,KWH DECEMBER 2010,TOTAL KWH,ELECTRICITY ACCOUNTS,ZERO KWH ACCOUNTS,THERM JANUARY 2010,THERM FEBRUARY 2010,THERM MARCH 2010,TERM APRIL 2010,THERM MAY 2010,THERM JUNE 2010,THERM JULY 2010,THERM AUGUST 2010,THERM SEPTEMBER 2010,THERM OCTOBER 2010,THERM NOVEMBER 2010,THERM DECEMBER 2010,TOTAL THERMS,GAS ACCOUNTS,KWH TOTAL SQFT,THERMS TOTAL SQFT,KWH MEAN 2010,KWH STANDARD DEVIATION 2010,KWH MINIMUM 2010,KWH 1ST QUARTILE 2010,KWH 2ND QUARTILE 2010,KWH 3RD QUARTILE 2010,KWH MAXIMUM 2010,KWH SQFT MEAN 2010,KWH SQFT STANDARD DEVIATION 2010,KWH SQFT MINIMUM 2010,KWH SQFT 1ST QUARTILE 2010,KWH SQFT 2ND QUARTILE 2010,KWH SQFT 3RD QUARTILE 2010,KWH SQFT MAXIMUM 2010,THERM MEAN 2010,THERM STANDARD DEVIATION 2010,THERM MINIMUM 2010,THERM 1ST QUARTILE 2010,THERM 2ND QUARTILE 2010,THERM 3RD QUARTILE 2010,THERM MAXIMUM 2010,THERMS SQFT MEAN 2010,THERMS SQFT STANDARD DEVIATION 2010,THERMS SQFT MINIMUM 2010,THERMS SQFT 1ST QUARTILE 2010,THERMS SQFT 2ND QUARTILE 2010,THERMS SQFT 3RD QUARTILE 2010,THERMS SQFT MAXIMUM 2010,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,OCCUPIED UNITS PERCENTAGE,RENTER-OCCUPIED HOUSING UNITS,RENTER-OCCUPIED HOUSING PERCENTAGE,OCCUPIED HOUSING UNITS
Archer Heights,170315704001006.0,Residential,Multi < 7,,,,,,,,,,,,,,,0,2326.0,2131.0,1400.0,620.0,502.0,224.0,222.0,187.0,197.0,252.0,744.0,2112.0,10917.0,11,,11134.0,,,,,,,,,,,,,,,1819.5,547.64,1061.0,1334.0,1864.5,2306.0,2487.0,1855.67,490.89,1382.0,1382.0,1779.0,2162.0,2650.0,89.0,24.0,2.0,71.33,3.87,23.0,0.9582,9.0,0.391,23.0
Ashburn,170317005014004.0,Residential,Multi 7+,7334.0,7741.0,4214.0,4284.0,2518.0,4273.0,4566.0,2787.0,3357.0,5540.0,15774.0,19676.0,82064.0,8,3,,,,,,,,,,,,,,,10892.0,,27354.67,22082.79,8886.0,8886.0,21363.0,51815.0,51815.0,10892.0,,10892.0,10892.0,10892.0,10892.0,10892.0,,,,,,,,,,,,,,,112.0,67.0,2.0,41.0,1.81,62.0,0.9254,50.0,0.8059,62.0
Auburn Gresham,170317105001006.0,Commercial,Multi < 7,,,,,,,,,,,,,,,7,1561.0,1388.0,1507.0,701.0,486.0,380.0,18.0,16.0,,,,,6057.0,4,,7347.0,,,,,,,,,,,,,,,3028.5,4150.01,94.0,94.0,3028.5,5963.0,5963.0,7347.0,,7347.0,7347.0,7347.0,7347.0,7347.0,102.0,48.0,3.0,86.0,3.0,34.0,0.7082,23.0,0.6759,34.0
Austin,170312503003003.0,Commercial,Multi < 7,,,,,,,,,,,,,,,2,,,,,,,,,,,9.0,391.0,400.0,Less than 4,,2146.0,,,,,,,,,,,,,,,400.0,,400.0,400.0,400.0,400.0,400.0,2146.0,,2146.0,2146.0,2146.0,2146.0,2146.0,121.0,56.0,2.0,84.0,2.95,41.0,0.7321,32.0,0.78,41.0
Austin,170312504002008.0,Commercial,Multi < 7,,,,,,,,,,,,,,,3,310.0,268.0,163.0,77.0,57.0,23.0,19.0,8.0,14.0,10.0,,,949.0,Less than 4,,2146.0,,,,,,,,,,,,,,,949.0,,949.0,949.0,949.0,949.0,949.0,2146.0,,2146.0,2146.0,2146.0,2146.0,2146.0,62.0,23.0,2.0,85.0,3.26,19.0,0.8261,11.0,0.579,19.0
Austin,170312517001044.0,Commercial,Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.0,619.0,416.0,138.0,2.0,1994.0,Less than 4,1,,,,,,,,,,,,,,,1512.0,,1994.0,,1994.0,1994.0,1994.0,1994.0,1994.0,1512.0,,1512.0,1512.0,1512.0,1512.0,1512.0,,,,,,,,,,,,,,,54.0,18.0,2.0,131.0,3.0,18.0,1.0,10.0,0.556,18.0
Austin,170312518003009.0,Commercial,Commercial,,,,,,,,,,,,,,,0,3041.0,2680.0,1151.0,373.0,124.0,26.0,29.0,25.0,49.0,177.0,670.0,3895.0,12240.0,Less than 4,,69800.0,,,,,,,,,,,,,,,6120.0,3505.84,3641.0,3641.0,6120.0,8599.0,8599.0,34900.0,32244.07,12100.0,12100.0,34900.0,57700.0,57700.0,0.0,0.0,1.0,54.0,0.0,0.0,,0.0,,0.0
Austin,170312520004000.0,Commercial,Multi < 7,1470.0,1325.0,294.0,391.0,366.0,2204.0,2345.0,2032.0,920.0,586.0,705.0,785.0,13423.0,Less than 4,3,,,,,,,,,,,,,,,1988.0,,13423.0,,13423.0,13423.0,13423.0,13423.0,13423.0,1988.0,,1988.0,1988.0,1988.0,1988.0,1988.0,,,,,,,,,,,,,,,64.0,63.0,2.0,131.0,1.02,59.0,0.9365,59.0,1.0,59.0
Austin,170312521011000.0,Residential,Multi 7+,2461.0,4888.0,2893.0,2737.0,2350.0,3037.0,3874.0,4861.0,5180.0,2984.0,2635.0,3597.0,41497.0,6,0,,,,,,,,,,,,,,,4500.0,,41497.0,,41497.0,41497.0,41497.0,41497.0,41497.0,4500.0,,4500.0,4500.0,4500.0,4500.0,4500.0,,,,,,,,,,,,,,,79.0,31.0,3.0,99.0,2.93,27.0,0.871,27.0,1.0,27.0
Austin,170312521011008.0,Residential,Multi 7+,0.0,0.0,0.0,0.0,0.0,511.0,904.0,1818.0,1968.0,738.0,450.0,2207.0,8596.0,Less than 4,0,,,,,,,,,,,,,,,4500.0,,8596.0,,8596.0,8596.0,8596.0,8596.0,8596.0,4500.0,,4500.0,4500.0,4500.0,4500.0,4500.0,,,,,,,,,,,,,,,84.0,33.0,3.0,99.0,3.82,22.0,0.6667,16.0,0.727,22.0
