"the_geom","objectid_1","park","park_no","facility_n","facility_t","x_coord","y_coord","gisobjid"
"POINT (-87.63769762610757 41.76299921150787)","1","HAMILTON (ALEXANDER)","9.0","CULTURAL CENTER","SPECIAL","-87.63769763","41.76299921","2494.0"
"POINT (-87.63792902986378 41.76281652413111)","2","HAMILTON (ALEXANDER)","9.0","GYMNASIUM","INDOOR","-87.63792903","41.76281652","2495.0"
"POINT (-87.63691359952075 41.76084939012162)","3","HAMILTON (ALEXANDER)","9.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.6369136","41.76084939","2496.0"
"POINT (-87.63832013450008 41.76200535623585)","4","HAMILTON (ALEXANDER)","9.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.63832013","41.76200536","2497.0"
"POINT (-87.63805916836576 41.76047384589964)","5","HAMILTON (ALEXANDER)","9.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.63805917","41.76047385","2498.0"
"POINT (-87.63674047085038 41.7611127732937)","6","HAMILTON (ALEXANDER)","9.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.63674047","41.76111277","2499.0"
"POINT (-87.6359054976588 41.761924615978444)","7","HAMILTON (ALEXANDER)","9.0","POOL (OUTDOOR)","OUTDOOR","-87.6359055","41.76192462","2500"
"POINT (-87.63686292204704 41.762619836707124)","8","HAMILTON (ALEXANDER)","9.0","PLAYGROUND","OUTDOOR","-87.63686292","41.76261984","2501.0"
"POINT (-87.63660514606852 41.76312825043389)","9","HAMILTON (ALEXANDER)","9.0","SPRAY FEATURE","OUTDOOR","-87.63660515","41.76312825","2502.0"
"POINT (-87.63842974935338 41.761198555795076)","10","HAMILTON (ALEXANDER)","9.0","BASEBALL SR","OUTDOOR","-87.63842975","41.76119856","2503.0"
"POINT (-87.6370030150641 41.76191238441992)","11","HAMILTON (ALEXANDER)","9.0","BASEBALL SR","OUTDOOR","-87.63700302","41.76191238","2504.0"
"POINT (-87.63562214879504 41.76304673325902)","12","HAMILTON (ALEXANDER)","9.0","TENNIS COURT","OUTDOOR","-87.63562215","41.76304673","2505.0"
"POINT (-87.63583036536316 41.76303855367456)","13","HAMILTON (ALEXANDER)","9.0","TENNIS COURT","OUTDOOR","-87.63583037","41.76303855","2506.0"
"POINT (-87.63601325403096 41.763039663851124)","14","HAMILTON (ALEXANDER)","9.0","TENNIS COURT","OUTDOOR","-87.63601325","41.76303966","2507.0"
"POINT (-87.63617086599143 41.763045341839344)","15","HAMILTON (ALEXANDER)","9.0","TENNIS COURT","OUTDOOR","-87.63617087","41.76304534","2508.0"
"POINT (-87.63634114068245 41.76304637495082)","16","HAMILTON (ALEXANDER)","9.0","TENNIS COURT","OUTDOOR","-87.63634114","41.76304637","2509.0"
"POINT (-87.63635087134695 41.76273005964969)","17","HAMILTON (ALEXANDER)","9.0","TENNIS COURT","OUTDOOR","-87.63635087","41.76273006","2510.0"
"POINT (-87.63616167657185 41.762728911745796)","18","HAMILTON (ALEXANDER)","9.0","TENNIS COURT","OUTDOOR","-87.63616168","41.76272891","2511.0"
"POINT (-87.63599770849714 41.762727916648146)","19","HAMILTON (ALEXANDER)","9.0","TENNIS COURT","OUTDOOR","-87.63599771","41.76272792","2512.0"
"POINT (-87.68030436442524 41.9367571477461)","20","HAMLIN (HANNIBAL)","106.0","BASKETBALL COURT","OUTDOOR","-87.68030436","41.93675715","2513.0"
"POINT (-87.67917786526037 41.93654865370636)","21","HAMLIN (HANNIBAL)","106.0","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.67917787","41.93654865","2514.0"
"POINT (-87.68032910445979 41.936043077960264)","22","HAMLIN (HANNIBAL)","106.0","DOG FRIENDLY AREA","OUTDOOR","-87.6803291","41.93604308","2516.0"
"POINT (-87.6798296849164 41.937481111682935)","23","HAMLIN (HANNIBAL)","106.0","FITNESS CENTER","INDOOR","-87.67982968","41.93748111","2517.0"
"POINT (-87.6802483095691 41.937089480196676)","24","HAMLIN (HANNIBAL)","106.0","GYMNASIUM","INDOOR","-87.68024831","41.93708948","2518.0"
"POINT (-87.6786649781155 41.93696155354375)","25","HAMLIN (HANNIBAL)","106.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.67866498","41.93696155","2519.0"
"POINT (-87.67962215442036 41.93621630450575)","26","HAMLIN (HANNIBAL)","106.0","BASEBALL JR/SOFTBALL","OUTDOOR","-87.67962215","41.9362163","2520.0"
"POINT (-87.68022837812161 41.93736144821552)","27","HAMLIN (HANNIBAL)","106.0","POOL (OUTDOOR)","OUTDOOR","-87.68022838","41.93736145","2521.0"
"POINT (-87.6793019409385 41.93748911145529)","28","HAMLIN (HANNIBAL)","106.0","PLAYGROUND","OUTDOOR","-87.67930194","41.93748911","2522.0"
"POINT (-87.67961856447097 41.93690964102514)","29","HAMLIN (HANNIBAL)","106.0","BASEBALL SR","OUTDOOR","-87.67961856","41.93690964","2523.0"
"POINT (-87.67866522108899 41.936255163874975)","30","HAMLIN (HANNIBAL)","106.0","BASEBALL SR","OUTDOOR","-87.67866522","41.93625516","2524.0"
"POINT (-87.68039319621411 41.93626239706626)","31","HAMLIN (HANNIBAL)","106.0","TENNIS COURT","OUTDOOR","-87.6803932","41.9362624","2525.0"
"POINT (-87.68021162148891 41.93626657726959)","32","HAMLIN (HANNIBAL)","106.0","TENNIS COURT","OUTDOOR","-87.68021162","41.93626658","2526.0"
"POINT (-87.62029752056134 41.79189637912629)","33","HANSBERRY (LORRAINE)","1111.0","PLAYGROUND","OUTDOOR","-87.62029752","41.79189638","2527.0"
"POINT (-87.72480188745655 41.90240853069196)","34","HARDING (FREDERICK)","1106.0","PLAYGROUND","OUTDOOR","-87.72480189","41.90240853","2528.0"
"POINT (-87.618357886186 41.80501454972456)","35","HARDING (GEORGE)","1033.0","BASKETBALL COURT","OUTDOOR","-87.61835789","41.80501455","2529.0"
"POINT (-87.61836672219982 41.805547934357584)","36","HARDING (GEORGE)","1033.0","PLAYGROUND","OUTDOOR","-87.61836672","41.80554793","2530.0"
"POINT (-87.61843218595244 41.80521388094226)","37","HARDING (GEORGE)","1033.0","VOLLEYBALL","OUTDOOR","-87.61843219","41.80521388","2531.0"
"POINT (-87.60489798067177 41.781736738398315)","38","HARRIS (HARRIET)","524.0","FITNESS CENTER","INDOOR","-87.60489798","41.78173674","2532.0"
"POINT (-87.60471883113593 41.78152949213613)","39","HARRIS (HARRIET)","524.0","GYMNASIUM","INDOOR","-87.60471883","41.78152949","2533.0"
"POINT (-87.60502579204426 41.78187183309958)","40","HARRIS (HARRIET)","524.0","POOL (INDOOR)","INDOOR","-87.60502579","41.78187183","2534.0"
"POINT (-87.60459680349332 41.78210575387381)","41","HARRIS (HARRIET)","524.0","PLAYGROUND","OUTDOOR","-87.6045968","41.78210575","2535.0"
"POINT (-87.64006584448846 41.77193030663132)","42","HARRIS (RYAN) MEMORIAL","1225.0","PLAYGROUND","OUTDOOR","-87.64006584","41.77193031","2536.0"
"POINT (-87.63986646345123 41.7721147164865)","43","HARRIS (RYAN) MEMORIAL","1225.0","SPRAY FEATURE","OUTDOOR","-87.63986646","41.77211472","2537.0"
"POINT (-87.67161219195903 41.85742608593286)","44","HARRISON (CARTER)","213.0","BASKETBALL COURT","OUTDOOR","-87.67161219","41.85742609","2538.0"
"POINT (-87.67187495168204 41.85741698448778)","45","HARRISON (CARTER)","213.0","BASKETBALL COURT","OUTDOOR","-87.67187495","41.85741698","2539.0"
"POINT (-87.67471920290419 41.85684049996371)","46","HARRISON (CARTER)","213.0","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.6747192","41.8568405","2540.0"
"POINT (-87.67185383615576 41.85698552118907)","47","HARRISON (CARTER)","213.0","GYMNASIUM","INDOOR","-87.67185384","41.85698552","2541.0"
"POINT (-87.67173913701586 41.85673499231899)","48","HARRISON (CARTER)","213.0","GYMNASTIC CENTER","INDOOR","-87.67173914","41.85673499","2542.0"
