Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2020,252064,Mansueto Library,Submitted Data,1100 E 57th St,60637,2.0,false,HYDE PARK,Library,64028,2009,1,,,2384738.9,,7438787,5594040.1,,240.8,323.6,246,329.9,1160.9,18.1,41.79221307,-87.59994981,POINT (-87.59994981 41.79221307)
2020,232458,Harper Square Cooperative,Submitted Data,4800 - 4850 S Lake Park Ave,60615,1.0,false,KENWOOD,Multifamily Housing,627680,1974,1,,22,16397682.8,43537490.6,,,,95.5,146,100.3,150.7,4871.7,7.8,41.80747487,-87.59126397,POINT (-87.59126397 41.80747487)
2020,254616,Former Coyne College,Submitted Data,330 N Green St,60607,2.0,false,NEAR WEST SIDE,Office,555524,2019,1,,49,28606427.7,2199940.1,,,,55.5,148.3,56.7,151.8,4581.4,8.2,41.873335,-87.65102071,POINT (-87.65102071 41.873335)
2020,103812,400 W Superior St,Submitted Data,400 W Superior St,60654,3.0,false,NEAR NORTH SIDE,Office,130007,1998,1,,61,6489281.3,1493523.2,,,,61.4,151.8,63,154.8,1092.1,8.4,41.89575232,-87.638901,POINT (-87.638901 41.89575232)
2020,254073,Blue Moon Lofts,Submitted Data,215 N. Aberdeen St.,60607,4.0,false,NEAR WEST SIDE,Multifamily Housing,83000,1908,1,,100,1614582.3,825006.6,,,,29.4,64.9,29.6,64.3,295.8,3.6,41.87429514,-87.65017516,POINT (-87.65017516 41.87429514)
2020,254385,"Ambulatory Care Center, St. Bernard Hospital",Submitted Data,6307 S STEWART AVE,60621,2.5,false,Englewood,Medical Office,98018,2016,1,,59,4204723.5,2236782.3,,,,96.7,211.9,98,212.8,775,11.6,41.77391183,-87.63872071,POINT (-87.63872071 41.77391183)
2020,160214,Children's Memorial Hospital sub-building,Not Submitted,700 W Fullerton Ave,60614,0.0,false,LINCOLN PARK,,257400,,,,,,,,,,,,,,,,41.92548708,-87.64643712,POINT (-87.64643712 41.92548708)
2020,103745,,Submitted Data,900 North Michigan,60611,,true,NEAR NORTH SIDE,Mixed Use Property,2731896,1989,1,,,123364979.3,29220664.4,,,,71.4,176,74.5,184,20805.5,9.7,41.89920885,-87.62650606,POINT (-87.62650606 41.89920885)
2020,157607,Hilliard Homes Limited Partnership (Senior),Submitted Data,2111 S Clark Ave,60616,3.5,false,NEAR SOUTH SIDE,Multifamily Housing,311326,1966,2,,75,4993793,15777294.8,,,,80.1,117.8,82.9,120.3,1617.4,6.2,41.853983,-87.630083,POINT (-87.630083 41.853983)
2020,254329,901 South Plymouth Condominium Association,Submitted Data,901 S Plymouth Ct,60605,3.5,false,Loop,Multifamily Housing,199600,1979,1,,58,5821462.7,4643106.7,,,,64.7,131,68.7,139.8,1155.2,7.1,41.8682103,-87.62733,POINT (-87.62733 41.8682103)
