CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder,LF_FADD,RT_FADD,LF_TADD,RT_TADD,FROM_CNN,TO_CNN
25319000,ROMOLO PL,BROADWAY,,,,BROADWAY intersection,,28534,,,,,,
3151000,BROADWAY,KEARNY ST,ROMOLO PL,,500 - 544,KEARNY ST to ROMOLO PL (500 - 544),,7340,501,500,535,544,24795000,25319000
10588000,POLLARD PL,ROMOLO PL \ VALLEJO ST,END: 1-99 BLOCK,,1 - 99,ROMOLO PL \ VALLEJO ST to END: 1-99 BLOCK (1 - 99),,27089,1,2,99,98,25323000,50144000
25319000,BROADWAY,ROMOLO PL,,,,ROMOLO PL intersection,,7341,,,,,,
4759000,DIAMOND ST,DIAMOND HEIGHTS BLVD,HILIRITAS AVE,,2300 - 2329,DIAMOND HEIGHTS BLVD to HILIRITAS AVE (2300 - 2329),,11359,2301,2300,2329,2328,21994000,21993000
25323000,POLLARD PL,ROMOLO PL \ VALLEJO ST,,,,ROMOLO PL \ VALLEJO ST intersection,,27088,,,,,,
5866000,FRESNO ST,ROMOLO PL,GRANT AVE,,50 - 99,ROMOLO PL to GRANT AVE (50 - 99),,14104,51,50,99,98,25320000,25331000
4006000,CHURCH ST,HERMANN ST,DUBOCE AVE,,1 - 99,HERMANN ST to DUBOCE AVE (1 - 99),,9484,1,2,99,98,25888000,25884000
5865000,FRESNO ST,KEARNY ST,ROMOLO PL,,1 - 49,KEARNY ST to ROMOLO PL (1 - 49),,14102,1,2,49,48,24846000,25320000
11138000,ROMOLO PL,FRESNO ST,POLLARD PL \ VALLEJO ST,,66 - 99,FRESNO ST to POLLARD PL \ VALLEJO ST (66 - 99),,28537,67,66,99,98,25320000,25323000
25320000,ROMOLO PL,FRESNO ST,,,,FRESNO ST intersection,,28536,,,,,,
13090000,VALLEJO ST,POLLARD PL \ ROMOLO PL,MARGRAVE PL,,552 - 579,POLLARD PL \ ROMOLO PL to MARGRAVE PL (552 - 579),,33311,559,552,579,574,25323000,25322000
3152000,BROADWAY,ROMOLO PL,COLUMBUS AVE,,537 - 558,ROMOLO PL to COLUMBUS AVE (537 - 558),,7342,537,546,553,558,25319000,25321000
11137000,ROMOLO PL,BROADWAY,FRESNO ST,,1 - 65,BROADWAY to FRESNO ST (1 - 65),,28535,1,2,65,64,25319000,25320000
25323000,VALLEJO ST,POLLARD PL \ ROMOLO PL,,,,POLLARD PL \ ROMOLO PL intersection,,33310,,,,,,
25320000,FRESNO ST,ROMOLO PL,,,,ROMOLO PL intersection,,14103,,,,,,
25323000,ROMOLO PL,POLLARD PL \ VALLEJO ST,,,,POLLARD PL \ VALLEJO ST intersection,,28538,,,,,,
13089002,VALLEJO ST,SAN ANTONIO PL,POLLARD PL \ ROMOLO PL,,529 - 557,SAN ANTONIO PL to POLLARD PL \ ROMOLO PL (529 - 557),,33309,529,530,557,550,54045000,25323000
32864000,CROSSOVER DR,TRANSVERSE DR,,,,TRANSVERSE DR intersection,,10746,,,,,,
4317000,COMMONWEALTH AVE,EUCLID AVE,GEARY BLVD,,100 - 199,EUCLID AVE to GEARY BLVD (100 - 199),,10213,100,101,198,199,26934000,27217000
4539101,CROSSOVER DR,MARTIN LUTHER KING JR DR,19TH AVE \ LINCOLN WAY,EAST,600 - 698,MARTIN LUTHER KING JR DR to 19TH AVE \ LINCOLN WAY (600 - 698) -- EAST --,,10754,600,0,698,0,27441000,27374000
23684000,CONNECTICUT ST,17TH ST,,,,17TH ST intersection,,10266,,,,,,
3810000,CASTRO ST,28TH ST,VALLEY ST,,2100 - 2150,28TH ST to VALLEY ST (2100 - 2150),,8880,2101,2100,2149,2150,22012000,22005000
4693000,DELLBROOK AVE,PANORAMA DR,LORI LN,,400 - 499,PANORAMA DR to LORI LN (400 - 499),,11172,401,400,499,498,26246000,32950000
20452000,JENNINGS ST,CARROLL AVE,,,,CARROLL AVE intersection,,18758,,,,,,
23459000,TARAVAL ST,43RD AVE,,,,43RD AVE intersection,,31757,,,,,,
51932000,TEVIS ST,CARROLL AVE,,,,CARROLL AVE intersection,,32016,,,,,,
21694000,MAYNARD ST,CASTLE MANOR AVE \ MISSION ST,,,,CASTLE MANOR AVE \ MISSION ST intersection,,22723,,,,,,
24925000,TAYLOR ST,EDDY ST,,,,EDDY ST intersection,,31779,,,,,,
34161000,MISSION BAY BLVD SOUTH,03RD ST \ MISSION BAY BLVD,,,,03RD ST \ MISSION BAY BLVD intersection,,23291,,,,,,
23507000,SANTIAGO ST,46TH AVE,,,,46TH AVE intersection,,29757,,,,,,
